Star	241 27 292 42 
Health	301 27 381 42 
And	388 27 440 42 
Allied	448 27 521 42 
Insurance	530 27 655 41 
Company	664 27 786 46 
Limited	795 27 888 42 
STAR	111 41 194 56 
Health	202 50 228 56 
Personal	127 57 160 62 
&	160 57 167 62 
Caring	169 57 193 62 
Insurance	202 57 240 62 
The	97 66 111 71 
Health InsuranceSpecialist	114 65 223 71 
Senior	231 86 304 97 
Citizens	312 86 400 98 
Red	408 86 449 97 
Carpet	457 86 531 100 
Health	540 86 612 97 
Insurance	619 86 734 97 
Policy	742 86 809 100 
Unique	237 103 315 118 
Identification	322 103 475 115 
No.	484 103 520 115 
SHAHLIP22199V062122	528 103 803 115 
POLICY	415 121 500 132 
SCHEDULE	506 121 625 132 
Policy	91 142 140 153 
No.	146 142 174 151 
:	225 144 229 150 
11230238321500	245 143 361 151 
Previous	526 142 599 151 
Policy	605 142 655 153 
No	661 142 683 151 
:	705 144 708 150 
Customer	91 159 164 168 
Code	169 159 207 168 
:	226 160 230 167 
PI0003310797	245 159 356 168 
GSTIN	526 159 574 168 
:	705 160 708 167 
33AAJCS4517L1Z5	719 159 862 168 
Customer	91 175 164 184 
Name	170 175 213 184 
:	227 176 230 183 
R	246 176 255 184 
SAMPATHKUMAR	261 175 389 184 
SAC	526 175 557 184 
Code	563 175 600 184 
:	705 176 708 183 
997133	719 175 776 184 
/	781 175 789 186 
Accident	793 175 858 184 
and	864 175 891 184 
Health	897 175 945 184 
Insurance	719 189 794 198 
Services	800 188 863 197 
Proposer	90 203 157 213 
Code	163 203 200 212 
:	226 204 230 210 
PI0003310797	246 202 356 212 
Issuing	526 203 580 214 
Office	586 202 629 212 
Code	635 203 672 212 
:	705 204 709 211 
111125	721 203 776 212 
Proposer	91 220 157 230 
Name	163 219 206 228 
:	226 220 230 227 
R	246 220 255 228 
SAMPATHKUMAR	261 219 389 228 
.	401 226 405 228 
Issuing	526 219 580 230 
Office	586 219 629 228 
Name	635 219 678 228 
:	706 220 709 227 
Branch	720 219 771 228 
Office	777 219 820 228 
-	826 223 832 225 
Perambur	838 219 912 228 
Proposer	91 236 157 247 
Address	162 236 224 245 
:	227 237 230 244 
NO.16,	246 236 296 246 
F3,	304 236 326 246 
GREENFIELD	333 236 430 245 
Issuing	526 236 580 247 
Office	586 236 629 245 
Address	635 236 694 245 
:	706 237 709 244 
No:	720 236 743 245 
76,	747 236 770 246 
Chakkravarthy	770 236 883 246 
APARTMENTS,	244 248 352 259 
Towers,3rd	719 248 798 259 
Floor	810 249 847 258 
AGASTHEESWARAR	244 262 395 271 
NAGAR,	400 262 458 272 
7TH	465 262 494 271 
Madhavaram	719 262 817 271 
High	823 262 856 273 
Road,	863 262 904 272 
STREET	245 275 304 283 
Perambur,	719 275 797 286 
POZHICHALUR,	245 288 361 298 
CHENNAI	367 288 438 297 
Chennai	719 287 780 296 
600011	798 288 854 297 
Chennai	245 301 306 310 
Tamil	312 301 353 310 
Nadu	359 301 397 310 
600074	404 301 461 310 
Chennai	719 301 780 310 
Tamil	785 301 827 310 
Nadu	833 301 871 310 
600011	877 301 933 310 
Phone	93 316 138 324 
No	145 316 164 324 
:	226 316 230 323 
9962186837	245 316 341 324 
Phone	526 316 572 324 
No	578 316 597 324 
:	705 316 710 323 
044-49136000/02/03	721 316 883 326 
E-mail	91 332 139 341 
Id	145 332 160 341 
:	226 333 230 339 
rsampathkumar1986@gmail.com	248 332 497 343 
E-mail	526 332 574 341 
Id	580 332 595 341 
:	705 333 709 340 
Perambur.bo@starhealth.in	723 332 927 342 
Proposer	91 349 157 360 
GSTIN	163 349 211 358 
:	226 350 230 357 
NO	246 349 268 357 
Place	528 349 566 358 
of	572 348 586 357 
Supply	592 348 643 360 
:	707 350 711 357 
Tamil	718 349 759 358 
Nadu	766 348 804 357 
Proposal	91 366 154 376 
date	160 366 194 374 
:	226 366 230 373 
29-Jan-2023	246 366 342 374 
Fulfiller	526 365 581 374 
Code	587 366 624 375 
:	705 366 709 373 
SH50793	717 366 786 375 
Date	91 382 126 391 
of	131 382 146 391 
Inception	151 382 222 392 
:	226 383 229 390 
30-Jan-2023	246 382 341 391 
of	91 395 105 404 
first	110 395 140 404 
policy	146 395 189 406 
Policy	91 410 133 421 
Category	139 410 208 421 
:	226 411 230 418 
New	246 411 277 419 
Intermediary	526 411 656 427 
:	705 413 710 423 
LC0000000371	717 411 863 424 
Collection	91 427 164 437 
No	170 427 189 436 
:	226 428 230 435 
111125/RV/2023/0041054965	247 427 479 437 
Code	526 429 579 441 
Collection	91 448 164 457 
Date	170 448 204 457 
:	226 449 230 456 
30-Jan-2023	245 448 341 458 
Name	526 466 584 478 
:	704 468 708 478 
M/S.TURTLEMINT	714 466 898 478 
Premium	91 479 142 486 
:	226 479 229 484 
Rs.	245 479 263 486 
18,000/-	269 478 320 487 
INSURANCE	714 484 843 496 
BROKING	851 484 952 496 
SERVICES	713 501 823 513 
PRIVATE	830 501 924 513 
LIMITED	714 519 800 531 
Phone	526 538 591 551 
No	599 538 627 550 
:	705 540 710 551 
18002660101/99377753	711 538 947 551 
CGST	91 551 123 558 
@	127 551 138 559 
9%	143 551 162 558 
:	226 552 229 557 
Rs.	246 552 263 558 
1,620/-	269 551 312 559 
34	712 556 736 568 
SGST	91 575 123 582 
9%	143 575 162 582 
:	226 575 229 581 
Rs.	246 575 263 582 
1,620/-	269 575 312 583 
E-mail	526 575 590 587 
Id	597 575 615 587 
:	705 578 710 587 
statement.invictus@tu	713 575 946 590 
rtlemint.com	714 593 842 605 
Total	90 628 119 635 
Premium	124 628 176 636 
:	226 628 229 634 
Rs.	245 628 263 636 
21,240/-	269 628 320 637 
Stamp	91 643 129 651 
Duty	133 643 160 652 
:	226 643 229 649 
Re.	245 643 263 650 
1/-	269 643 287 651 
Total	90 658 132 667 
Premium	139 659 214 668 
In	220 659 238 667 
Words	244 658 299 667 
:	305 660 309 667 
Rupees	315 659 376 670 
Twenty	381 659 443 670 
One	449 659 483 668 
thousand	488 658 566 667 
